# Langmuir Probe Measurement Export
# Schema: lp-measurement-csv v1
# Generator: LangmuirMeasure 3.0
# Date: 2026-04-20 14:09:45
# Instrument: Keysight Technologies,B2901A,SIM00001,2.0.0 (SIM-v2)
# VISA: GPIB0::25::INSTR
# V_start_V: -50
# V_stop_V: 50
# V_step_V: 0.5
# Settle_s: 0.02
# Compliance_A: 0.01
# Averages: 3
# Bidirectional: False
# Points: 201
# Run_Status: completed
# Probe_Geometry: cylindrical
# Exposed_Length_mm: 5.000
# Electrode_Radius_mm: 0.1000
# Geometric_Area_mm2: 3.1416
# Electrode_Spacing_mm: 3.00
# Probe_Material: tungsten
# Method: double
#
# V_soll_V,V_ist_V,I_mean_A,I_std_A,dir,compl
-38,-38,-2.189987e-03,0.000000e+00,fwd,0
-37.5,-37.5,-2.187485e-03,0.000000e+00,fwd,0
-37,-37,-2.184982e-03,0.000000e+00,fwd,0
-36.5,-36.5,-2.182479e-03,0.000000e+00,fwd,0
-36,-36,-2.179975e-03,0.000000e+00,fwd,0
-35.5,-35.5,-2.177471e-03,0.000000e+00,fwd,0
-35,-35,-2.174966e-03,0.000000e+00,fwd,0
-34.5,-34.5,-2.172459e-03,0.000000e+00,fwd,0
-34,-34,-2.169952e-03,0.000000e+00,fwd,0
-33.5,-33.5,-2.167443e-03,0.000000e+00,fwd,0
-33,-33,-2.164933e-03,0.000000e+00,fwd,0
-32.5,-32.5,-2.162421e-03,0.000000e+00,fwd,0
-32,-32,-2.159907e-03,0.000000e+00,fwd,0
-31.5,-31.5,-2.157390e-03,0.000000e+00,fwd,0
-31,-31,-2.154870e-03,0.000000e+00,fwd,0
-30.5,-30.5,-2.152346e-03,0.000000e+00,fwd,0
-30,-30,-2.149818e-03,0.000000e+00,fwd,0
-29.5,-29.5,-2.147285e-03,0.000000e+00,fwd,0
-29,-29,-2.144747e-03,0.000000e+00,fwd,0
-28.5,-28.5,-2.142201e-03,0.000000e+00,fwd,0
-28,-28,-2.139646e-03,0.000000e+00,fwd,0
-27.5,-27.5,-2.137082e-03,0.000000e+00,fwd,0
-27,-27,-2.134506e-03,0.000000e+00,fwd,0
-26.5,-26.5,-2.131917e-03,0.000000e+00,fwd,0
-26,-26,-2.129311e-03,0.000000e+00,fwd,0
-25.5,-25.5,-2.126686e-03,0.000000e+00,fwd,0
-25,-25,-2.124039e-03,0.000000e+00,fwd,0
-24.5,-24.5,-2.121364e-03,0.000000e+00,fwd,0
-24,-24,-2.118659e-03,0.000000e+00,fwd,0
-23.5,-23.5,-2.115915e-03,0.000000e+00,fwd,0
-23,-23,-2.113128e-03,0.000000e+00,fwd,0
-22.5,-22.5,-2.110289e-03,0.000000e+00,fwd,0
-22,-22,-2.107388e-03,0.000000e+00,fwd,0
-21.5,-21.5,-2.104415e-03,0.000000e+00,fwd,0
-21,-21,-2.101356e-03,0.000000e+00,fwd,0
-20.5,-20.5,-2.098196e-03,0.000000e+00,fwd,0
-20,-20,-2.094916e-03,0.000000e+00,fwd,0
-19.5,-19.5,-2.091495e-03,0.000000e+00,fwd,0
-19,-19,-2.087908e-03,0.000000e+00,fwd,0
-18.5,-18.5,-2.084125e-03,0.000000e+00,fwd,0
-18,-18,-2.080110e-03,0.000000e+00,fwd,0
-17.5,-17.5,-2.075821e-03,0.000000e+00,fwd,0
-17,-17,-2.071210e-03,0.000000e+00,fwd,0
-16.5,-16.5,-2.066219e-03,0.000000e+00,fwd,0
-16,-16,-2.060781e-03,0.000000e+00,fwd,0
-15.5,-15.5,-2.054815e-03,0.000000e+00,fwd,0
-15,-15,-2.048229e-03,0.000000e+00,fwd,0
-14.5,-14.5,-2.040912e-03,0.000000e+00,fwd,0
-14,-14,-2.032736e-03,0.000000e+00,fwd,0
-13.5,-13.5,-2.023552e-03,0.000000e+00,fwd,0
-13,-13,-2.013185e-03,0.000000e+00,fwd,0
-12.5,-12.5,-2.001431e-03,0.000000e+00,fwd,0
-12,-12,-1.988055e-03,0.000000e+00,fwd,0
-11.5,-11.5,-1.972784e-03,0.000000e+00,fwd,0
-11,-11,-1.955302e-03,0.000000e+00,fwd,0
-10.5,-10.5,-1.935251e-03,0.000000e+00,fwd,0
-10,-10,-1.912219e-03,2.655742e-19,fwd,0
-9.5,-9.5,-1.885742e-03,2.655742e-19,fwd,0
-9,-9,-1.855297e-03,0.000000e+00,fwd,0
-8.5,-8.5,-1.820303e-03,0.000000e+00,fwd,0
-8,-8,-1.780123e-03,2.655742e-19,fwd,0
-7.5,-7.5,-1.734067e-03,0.000000e+00,fwd,0
-7,-7,-1.681401e-03,0.000000e+00,fwd,0
-6.5,-6.5,-1.621364e-03,0.000000e+00,fwd,0
-6,-6,-1.553188e-03,0.000000e+00,fwd,0
-5.5,-5.5,-1.476133e-03,0.000000e+00,fwd,0
-5,-5,-1.389524e-03,2.655742e-19,fwd,0
-4.5,-4.5,-1.292798e-03,0.000000e+00,fwd,0
-4,-4,-1.185566e-03,0.000000e+00,fwd,0
-3.5,-3.5,-1.067668e-03,0.000000e+00,fwd,0
-3,-3,-9.392343e-04,0.000000e+00,fwd,0
-2.5,-2.5,-8.007371e-04,1.327871e-19,fwd,0
-2,-2,-6.530255e-04,1.327871e-19,fwd,0
-1.5,-1.5,-4.973373e-04,0.000000e+00,fwd,0
-1,-1,-3.352808e-04,0.000000e+00,fwd,0
-0.5,-0.5,-1.687819e-04,0.000000e+00,fwd,0
0,0,0.000000e+00,0.000000e+00,fwd,0
0.5,0.5,1.687819e-04,0.000000e+00,fwd,0
1,1,3.352808e-04,0.000000e+00,fwd,0
1.5,1.5,4.973373e-04,0.000000e+00,fwd,0
2,2,6.530255e-04,1.327871e-19,fwd,0
2.5,2.5,8.007371e-04,1.327871e-19,fwd,0
3,3,9.392343e-04,0.000000e+00,fwd,0
3.5,3.5,1.067668e-03,0.000000e+00,fwd,0
4,4,1.185566e-03,0.000000e+00,fwd,0
4.5,4.5,1.292798e-03,0.000000e+00,fwd,0
5,5,1.389524e-03,2.655742e-19,fwd,0
5.5,5.5,1.476133e-03,0.000000e+00,fwd,0
6,6,1.553188e-03,0.000000e+00,fwd,0
6.5,6.5,1.621364e-03,0.000000e+00,fwd,0
7,7,1.681401e-03,0.000000e+00,fwd,0
7.5,7.5,1.734067e-03,0.000000e+00,fwd,0
8,8,1.780123e-03,2.655742e-19,fwd,0
8.5,8.5,1.820303e-03,0.000000e+00,fwd,0
9,9,1.855297e-03,0.000000e+00,fwd,0
9.5,9.5,1.885742e-03,2.655742e-19,fwd,0
10,10,1.912219e-03,2.655742e-19,fwd,0
10.5,10.5,1.935251e-03,0.000000e+00,fwd,0
11,11,1.955302e-03,0.000000e+00,fwd,0
11.5,11.5,1.972784e-03,0.000000e+00,fwd,0
12,12,1.988055e-03,0.000000e+00,fwd,0
12.5,12.5,2.001431e-03,0.000000e+00,fwd,0
13,13,2.013185e-03,0.000000e+00,fwd,0
13.5,13.5,2.023552e-03,0.000000e+00,fwd,0
14,14,2.032736e-03,0.000000e+00,fwd,0
14.5,14.5,2.040912e-03,0.000000e+00,fwd,0
15,15,2.048229e-03,0.000000e+00,fwd,0
15.5,15.5,2.054815e-03,0.000000e+00,fwd,0
16,16,2.060781e-03,0.000000e+00,fwd,0
16.5,16.5,2.066219e-03,0.000000e+00,fwd,0
17,17,2.071210e-03,0.000000e+00,fwd,0
17.5,17.5,2.075821e-03,0.000000e+00,fwd,0
18,18,2.080110e-03,0.000000e+00,fwd,0
18.5,18.5,2.084125e-03,0.000000e+00,fwd,0
19,19,2.087908e-03,0.000000e+00,fwd,0
19.5,19.5,2.091495e-03,0.000000e+00,fwd,0
20,20,2.094916e-03,0.000000e+00,fwd,0
20.5,20.5,2.098196e-03,0.000000e+00,fwd,0
21,21,2.101356e-03,0.000000e+00,fwd,0
21.5,21.5,2.104415e-03,0.000000e+00,fwd,0
22,22,2.107388e-03,0.000000e+00,fwd,0
22.5,22.5,2.110289e-03,0.000000e+00,fwd,0
23,23,2.113128e-03,0.000000e+00,fwd,0
23.5,23.5,2.115915e-03,0.000000e+00,fwd,0
24,24,2.118659e-03,0.000000e+00,fwd,0
24.5,24.5,2.121364e-03,0.000000e+00,fwd,0
25,25,2.124039e-03,0.000000e+00,fwd,0
25.5,25.5,2.126686e-03,0.000000e+00,fwd,0
26,26,2.129311e-03,0.000000e+00,fwd,0
26.5,26.5,2.131917e-03,0.000000e+00,fwd,0
27,27,2.134506e-03,0.000000e+00,fwd,0
27.5,27.5,2.137082e-03,0.000000e+00,fwd,0
28,28,2.139646e-03,0.000000e+00,fwd,0
28.5,28.5,2.142201e-03,0.000000e+00,fwd,0
29,29,2.144747e-03,0.000000e+00,fwd,0
29.5,29.5,2.147285e-03,0.000000e+00,fwd,0
30,30,2.149818e-03,0.000000e+00,fwd,0
30.5,30.5,2.152346e-03,0.000000e+00,fwd,0
31,31,2.154870e-03,0.000000e+00,fwd,0
31.5,31.5,2.157390e-03,0.000000e+00,fwd,0
32,32,2.159907e-03,0.000000e+00,fwd,0
32.5,32.5,2.162421e-03,0.000000e+00,fwd,0
33,33,2.164933e-03,0.000000e+00,fwd,0
33.5,33.5,2.167443e-03,0.000000e+00,fwd,0
34,34,2.169952e-03,0.000000e+00,fwd,0
34.5,34.5,2.172459e-03,0.000000e+00,fwd,0
35,35,2.174966e-03,0.000000e+00,fwd,0
35.5,35.5,2.177471e-03,0.000000e+00,fwd,0
36,36,2.179975e-03,0.000000e+00,fwd,0
36.5,36.5,2.182479e-03,0.000000e+00,fwd,0
37,37,2.184982e-03,0.000000e+00,fwd,0
37.5,37.5,2.187485e-03,0.000000e+00,fwd,0
38,38,2.189987e-03,0.000000e+00,fwd,0
38.5,38.5,2.192489e-03,0.000000e+00,fwd,0
39,39,2.194991e-03,0.000000e+00,fwd,0
39.5,39.5,2.197492e-03,0.000000e+00,fwd,0
40,40,2.199994e-03,0.000000e+00,fwd,0
40.5,40.5,2.202495e-03,0.000000e+00,fwd,0
41,41,2.204995e-03,0.000000e+00,fwd,0
41.5,41.5,2.207496e-03,0.000000e+00,fwd,0
42,42,2.209997e-03,0.000000e+00,fwd,0
42.5,42.5,2.212497e-03,0.000000e+00,fwd,0
43,43,2.214998e-03,0.000000e+00,fwd,0
43.5,43.5,2.217498e-03,0.000000e+00,fwd,0
44,44,2.219998e-03,0.000000e+00,fwd,0
44.5,44.5,2.222499e-03,0.000000e+00,fwd,0
45,45,2.224999e-03,0.000000e+00,fwd,0
45.5,45.5,2.227499e-03,0.000000e+00,fwd,0
46,46,2.229999e-03,0.000000e+00,fwd,0
46.5,46.5,2.232499e-03,0.000000e+00,fwd,0
47,47,2.234999e-03,0.000000e+00,fwd,0
47.5,47.5,2.237499e-03,0.000000e+00,fwd,0
48,48,2.240000e-03,0.000000e+00,fwd,0
48.5,48.5,2.242500e-03,0.000000e+00,fwd,0
49,49,2.245000e-03,0.000000e+00,fwd,0
49.5,49.5,2.247500e-03,0.000000e+00,fwd,0
50,50,2.250000e-03,0.000000e+00,fwd,0
